Request_date,Request_client_name,Request_arrival_date,Request_departure_date,Request_type_of_request,Request_destination,Request_available_days,Request_available_hours,Request_pick_up_date,Request_pick_up_time,Request_drop_off_date,Request_drop_off_time,Car_Type,Car_model,car_number_of_cars,Car_car_owner,Car_plate_number,Driver_name,Contact_spn_contact,Contact_contact_person,Contact_contact_company,Partner_partner_name,Car_year
,Bruce Howe,,24/01/2022,Rent Self Drive,Vienne-Munich,4,,,,,,Mercedes Gle,,1,SPN,,,,Sharon Jones,Contact company 3,,
02/03/2022,Dr Shane Webb,02/03/2022,08/02/2022,Rent Self Drive,Zurich-Megève-Genève,6,,,,,,Range Rover,,1,SPN,,,Zied,,,,
02/04/2022,Jade Davies,02/04/2022,11/02/2022,Transfer Pick Up,GVA- Barriere Courchevel,,,02/04/2022,,,,Mercedes S Class,,1,Partner,,,,Mohammed Chapman,Contact company 1,,
02/04/2022,Jade Davies,,,Transfer Pick Up,GVA- Barriere Courchevel,,,02/04/2022,,,,Car For Luggage,,1,Rented by SPN,,,,Mohammed Chapman,Contact company 1,,
02/04/2022,Jade Davies,,,Transfer Drop Off,Barriere Courchevel- GVA,,,,,11/02/2022,,Mercedes V Class,,1,Partner,,,,Mohammed Chapman,Contact company 1,,
02/04/2022,Jade Davies,,,Transfer Drop Off,Barriere Courchevel- GVA,,,,,11/02/2022,,Car For Luggage,,1,Rented by SPN,,,,Mohammed Chapman,Contact company 1,,
02/07/2022,Jeffrey Jones,02/07/2022,12/02/2022,Transfer Pick Up,GVA- Barriere Courchevel,,,02/07/2022,,,,Mercedes V Class,,1,Rented by SPN,,Jonathan Mason,,Sharon Jones,Contact company 3,,
02/07/2022,Jeffrey Jones,,,Transfer Drop Off,Barriere Courchevel- GVA,,,,,12/02/2022,,Mercedes V Class,,1,Rented by SPN,,Jonathan Mason,,Sharon Jones,Contact company 3,,
02/09/2022,Gemma Holland,02/09/2022,19/02/2022,Transfer Pick Up,Megève,,,02/09/2022,,,,Car For Luggage,,3,Partner,,,,Dorothy O'Donnell,,,
02/09/2022,Gemma Holland,,,Transfer Pick Up,Anemasse,,,02/09/2022,,,,Car For Luggage,,1,Partner,,,,Dorothy O'Donnell,,,
02/09/2022,Gemma Holland,,11/02/2022,Dispo,Megève,8,,,,,,Mercedes V Class,,1,Rented by SPN,,,,Dorothy O'Donnell,,,
02/09/2022,Gemma Holland,,11/02/2022,Dispo,Megève,8,,,,,,Mercedes Gle,,1,SPN,,,,Dorothy O'Donnell,,,
02/09/2022,Gemma Holland,,11/02/2022,Rent Self Drive,Megève,9,,,,,,Bmw X7,,1,Rented by SPN,,,,Dorothy O'Donnell,,,
02/09/2022,Gemma Holland,,11/02/2022,Rent Self Drive,Megève,9,,,,,,,,1,Rented by SPN,,,,Dorothy O'Donnell,,,
02/09/2022,Gemma Holland,,,Transfer Drop Off,Megève-GVA,,,,,19/02/2022,,Mercedes V Class,,1,Rented by SPN,,,,Dorothy O'Donnell,,,
02/09/2022,Gemma Holland,,,Transfer Drop Off,Megève-GVA,,,,,19/02/2022,,Mercedes Gle,,1,SPN,,,,Dorothy O'Donnell,,,
02/10/2022,Miss Rosie Williamson,02/10/2022,21/02/2022,Transfer Pick Up,Salzburg airport-Kitzbuhel,,,02/10/2022,,,,Mercedes V Class,,2,Partner,,,,Sharon Jones,Contact company 3,,
02/10/2022,Miss Rosie Williamson,,,Transfer Pick Up,Salzburg airport-Kitzbuhel,,,02/10/2022,,,,Car For Luggage,,3,Partner,,,,Sharon Jones,Contact company 3,,
02/10/2022,Miss Rosie Williamson,,10/02/2022,Dispo,Kitzbuhel,12,,,,,,Mercedes V Class,,3,Rented by SPN,,,,Sharon Jones,Contact company 3,,
02/10/2022,Miss Rosie Williamson,,10/02/2022,Dispo,Kitzbuhel,12,,,,,,Range Rover,,3,Rented by SPN,,,,Sharon Jones,Contact company 3,,
02/10/2022,Miss Rosie Williamson,,,Transfer Drop Off,Kitzbuhel-Munich airport-Kitzbuhel,,,,,19/02/2022,,Mercedes V Class,,1,Partner,,,,Sharon Jones,Contact company 3,,
02/10/2022,Miss Rosie Williamson,,,Transfer Drop Off,Kitzbuhel-Salzburg airport,,,,,21/02/2022,,Car For Luggage,,2,Partner,,,,Sharon Jones,Contact company 3,,
02/10/2022,Miss Rosie Williamson,,,Transfer Pick Up,Salzburg airport-Kitzbuhel,,,,,,,Car For Luggage,,1,Partner,,,,Sharon Jones,Contact company 3,,
02/10/2022,Miss Rosie Williamson,,,Transfer Drop Off,Kitzbuhel-Salzburg airport,,,,,21/02/2022,,Mercedes V Class,,2,Partner,,,,Sharon Jones,Contact company 3,,
02/11/2022,Hollie Powell,02/11/2022,25/02/2022,Rent Self Drive,Chens sur leman,4,,02/11/2022,,,,Bmw X5,,1,Rented by SPN,,,Zied,Douglas Stephenson-North,Contact company 4,,
02/11/2022,Hollie Powell,,,Rent Self Drive,Chens sur leman,2,,,,,,Bmw X5,,1,Rented by SPN,,,Zied,Douglas Stephenson-North,Contact company 4,,
02/11/2022,Hollie Powell,,,Rent Self Drive,Chens sur leman,2,,,,,,Bmw X5 + Mercedes Gle,,1,Rented by SPN,,,Zied,Douglas Stephenson-North,Contact company 4,,
,Linda Bennett,,18/02/2022,Transfer Pick Up,GVA- Barriere Courchevel,,,,,,,Mercedes V Class,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
,Linda Bennett,,,Transfer Drop Off,Barriere Courchevel- CANNES,,,,,18/02/2022,,Mercedes V Class,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
,Andrew Lee-Howarth,,16/02/2022,Transfer Drop Off,Baur au Lac_ZH,,,,,,,Mercedes V Class,,1,Partner,,,,Sally Sanderson-Robertson,Contact company 3,Partner name 5,
,Jacob Hunter,,28/02/2022,Transfer Pick Up,GVA- Barriere Courchevel,,,,,,,Mercedes V Class + Car For Luggage,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
,Jacob Hunter,,,Transfer Pick Up,FS Megève- FS Genève,,,,,,,Range Rover,,1,SPN,,,,Sharon Jones,Contact company 3,,
,Jacob Hunter,,,Transfer Pick Up,FS Megève- FS Genève,,,,,,,Mercedes V Class,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
,Jacob Hunter,,,Transfer Pick Up,FS Megève- FS Genève,,,,,,,Bmw X7,,1,SPN,,,,Sharon Jones,Contact company 3,,
,Jacob Hunter,,28/02/2022,Dispo,Geneva,1,,,,,,Bmw X7,,1,SPN,,,,Sharon Jones,Contact company 3,,
,Jacob Hunter,,,Transfer Drop Off,FS Genève- GVA,,,,,28/02/2022,,Mercedes V Class,,1,Partner,,,,Sharon Jones,Contact company 3,Partner name 6,
,Andrew Lee-Howarth,,19/02/2022,Transfer Drop Off,Baur au Lac_ZH,,,,,,,Mercedes V Class,,1,Partner,,,,Sally Sanderson-Robertson,Contact company 3,Partner name 5,
,Marilyn Scott,,20/02/2022,Transfer Drop Off,Barriere Courchevel- Lys st exupery,,,,,20/02/2022,,Mercedes V Class,,1,Rented by SPN,,Kim Hilton,,Sharon Jones,Contact company 3,,
,Marilyn Scott,,,Transfer Pick Up,Barriere Courchevel- FS Genève,,,,,,,Mercedes V Class,,1,Rented by SPN,,Jonathan Mason,,Sharon Jones,Contact company 3,,
,Gemma Holland,,25/02/2022,Rent Self Drive,Geneva,6,,,,,,Mercedes V Class,,1,Rented by SPN,,,,Dorothy O'Donnell,,,
,Sophie Ford-Booth,,20/02/2022,Dispo,Genève-Chamonix-Megève,5,15h-20h,,,,,Mercedes Gle,,1,SPN,GE 895422,Hayley Jones,,Dr Bruce Humphries,Contact company 5,,
,Louis Smith-Gallagher,,28/02/2022,Transfer Pick Up,GVA-La Sivolière Courchevel,,,,,,,Mercedes V Class,,1,Rented by SPN,,,,Daniel Dodd-Woods,Contact company 6,,
,Louis Smith-Gallagher,,,Transfer Pick Up,La Sivolière Courchevel- FS Genève,,,,,,,Mercedes V Class,,1,Rented by SPN,,,,Daniel Dodd-Woods,Contact company 6,,
,Louis Smith-Gallagher,,,Transfer Drop Off,FS Genève- GVA,,,,,28/02/2022,,Mercedes V Class,,1,Partner,,,,Daniel Dodd-Woods,Contact company 6,,
,Raymond Walker,,26/02/2022,Transfer Pick Up,GVA- Blanc Resort Courchevel,,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Dr Bruce Humphries,,,
,Raymond Walker,,,Transfer Pick Up,Blanc Resort Courchevel- Metropol Geneva,,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Dr Bruce Humphries,,,
,Ricky Smith,,28/02/2022,Transfer Pick Up,Fairmont Geneva- Courchevel,,,,,,,Range Rover,,1,SPN,,,,Mr Justin Moore,Contact company 7,,
,Ricky Smith,,,Transfer Drop Off,Courchevel- GVA,,,,,28/02/2022,,Range Rover,,1,SPN,,,,Mr Justin Moore,Contact company 7,,
,Harriet Morris,,24/02/2022,Transfer Pick Up,GVA-Courchevel white 1921,,,,,,,Mercedes V Class,,1,Rented by SPN,9AA 7276,Kim Hilton,Zied,Dr Bruce Humphries,,,
,Olivia Martin,,26/02/2022,Transfer Drop Off,FS Megeve - FS Geneva,,,,,26/02/2022,,Bmw X7,,1,Rented by SPN,GG 748AS,Dr Stephen Dennis,,,Contact company 3,,
,Olivia Martin,,26/02/2022,Transfer Drop Off,FS Megeve - FS Geneva,,,,,26/02/2022,,Mercedes V Class,,1,Rented by SPN,9AA 7274,Jonathan Mason,,,Contact company 3,,
,Raymond Walker,,26/02/2022,Transfer Drop Off,Courchevel - Metropol Hotel Geneva,,,,,26/02/2022,,Mercedes V Class,,1,Rented by SPN,9AA 7274,Jonathan Mason,,Dr Bruce Humphries,Contact company 5,,
,Gerard Taylor,,26/02/2022,Transfer Drop Off,hotel La Sivaliere Courchevel - FS Geneva,,,,,26/02/2022,,Mercedes V Class,,1,Rented by SPN,9AA 7276,Kim Hilton,,,,,
,Mr Jason May,,27/02/2022,Transfer Drop Off,Hotel Erwald Austria - Montreux Geneva,,,,,27/02/2022,,Mercedes V Class,,1,Rented by SPN,9AA 7276,Kim Hilton,,,Contact company 3,,
,Mr Jason May,,27/02/2022,Transfer Drop Off,Hotel Erwald Austria - Montreux Geneva,,,,,27/02/2022,,Mercedes V Class,,1,Rented by SPN,9AA 7274,Jonathan Mason,,,Contact company 3,,
,Mr Harry Jones,,28/02/2022,Transfer Drop Off,Hotel courchevel - Geneva,,,,,28/02/2022,,Range Rover,,1,Rented by SPN,873962,Jonathan Mason,,Mr Harry Hill,Contact company 7,,
03/01/2022,Mrs Rosemary Fox,03/01/2022,,Dispo,Geneva,1,,,,,,Range Rover,,1,SPN,,,Zied,,,,
03/02/2022,Mrs Rosemary Fox,,,Rent Self Drive,GVA- location airbnb,,,03/02/2022,,,,Range Rover,,1,SPN,,,Zied,,,,
03/01/2022,Victor Jackson,03/01/2022,06/03/2022,Transfer Pick Up,GVA-Six sens Courchevel,,,03/01/2022,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,,,,
03/01/2022,Victor Jackson,,,Transfer Pick Up,Six Sens Courchevel- Paris,,,03/06/2022,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,,,,
03/02/2022,Sheila Saunders,03/02/2022,07/03/2022,Rent Self Drive,Genève,5,,,,,,Bmw X7,,1,Rented by SPN,,,,Sheila Smith,,,
03/05/2022,June Jones-Davies,03/05/2022,11/03/2022,Transfer Pick Up,GVA- FS Geneva,,,03/05/2022,,,,Mercedes S Class,,1,Partner,,,,Sharon Jones,Contact company 3,Partner name 6,
03/05/2022,June Jones-Davies,,,Dispo,GVA- FS Geneva,,,,,,,Mercedes S Class,,1,Partner,,,,Sharon Jones,Contact company 3,,
03/05/2022,June Jones-Davies,,,Transfer Pick Up,GVA- FS Geneva,,,03/05/2022,,,,Mercedes V Class + Car For Luggage,,1,Partner,,,,Sharon Jones,Contact company 3,,
03/05/2022,Samantha Gilbert,,,Transfer Pick Up,GVA- FS Geneva,,,03/05/2022,,,,Mercedes Gle,,1,SPN,,,,Sharon Jones,Contact company 3,,
03/05/2022,June Jones-Davies,,,Dispo,FS Geneva - Restaurant,3H,,03/05/2022,,,,Mercedes V Class,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
03/06/2022,June Jones-Davies,,,Dispo,FS geneva- Megeve FS- Apogee courchevel,,,03/06/2022,,,,Mercedes V Class,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
03/06/2022,June Jones-Davies,,,Transfer Pick Up,FS Geneva- Apogee courchevel,,,03/06/2022,,,,Car For Luggage,,1,Partner,,,,Sharon Jones,Contact company 3,,
03/06/2022,Barbara Long-Begum,,,Transfer Pick Up,FS Geneva- Apogee courchevel,,,03/06/2022,,,,Mercedes Gle,,1,SPN,,,,Sharon Jones,Contact company 3,,
03/07/2022,Miss Alison Smith,,,Transfer Pick Up,St Exupery Lyon - Hotel Apogee,,,03/07/2022,,,,Mercedes V Class,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
03/11/2022,June Jones-Davies,,,Transfer Drop Off,hotel Barriere des neiges- GVA,,,03/11/2022,,,,Mercedes V Class + Car For Luggage,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
03/12/2022,Molly Carroll,03/12/2022,17/03/2022,Rent Self Drive,Geneva,5,,03/12/2022,,,,Mercedes Gle,,1,SPN,,,,Abigail Anderson,,,
03/12/2022,Angela Mahmood-Brown,03/12/2022,16/03/2022,Transfer Pick Up,Geneva train station - M Megève,,,03/12/2022,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Dr Bruce Humphries,,,
03/12/2022,Angela Mahmood-Brown,,,Transfer Pick Up,Geneva train station - M Megève,,,03/12/2022,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Dr Bruce Humphries,,,
,Angela Mahmood-Brown,,,Transfer Drop Off,M- Megève- Geneva train Station,,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Dr Bruce Humphries,,,
,Sarah Clarke-Cole,,27/03/2022,Transfer Pick Up,Chambery- Courchevel Edelweise,,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Reece Carter,,,
,Sarah Clarke-Cole,,,Dispo,Courchevel Edelweise,,,,,,,Range Rover,,1,Rented by SPN,,,Zied,Reece Carter,,,
,Sarah Clarke-Cole,,,Transfer Pick Up,GVA-Courchevel Edelweise,,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Reece Carter,,,
,Sarah Clarke-Cole,,,Transfer Drop Off,Courchevel Edelweise- GVA,,,,,,,Mercedes Gle,,1,SPN,,,Zied,Reece Carter,,,
,Sarah Clarke-Cole,,,Transfer Pick Up,GVA- Courchevel K2,,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,Reece Carter,,,
,Sarah Clarke-Cole,,,Transfer Drop Off,Courchevel K2- GVA,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Reece Carter,,Partner name 8,
,Sarah Clarke-Cole,,,Transfer Pick Up,GVA- Courchevel K2,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Reece Carter,,Partner name 2,
,Joyce Holden,,19/03/2022,Rent Self Drive,FS Geneva,4,,,,,,Bmw X7,,1,Rented by SPN,,,,Sharon Jones,Contact company 3,,
,Dr Frederick Birch,,21/03/2022,Dispo,Interlaken-Chamonix-Geneva,5,,,,,,Mercedes V Class,,1,Rented by SPN,,,,Bruce Baxter,,,
,Dr Frederick Birch,,,Transfer Pick Up,Interlaken-Chamonix,,,,,,,Mercedes V Class + Car For Luggage,,1,Partner,,,,Bruce Baxter,,Partner name 9,
,Dr Frederick Birch,,,Transfer Pick Up,Chamonix- Geneva,,,,,,,Car For Luggage,,1,Partner,,,,Bruce Baxter,,Partner name 10,
,Dr Frederick Birch,,,Transfer Drop Off,Geneva mandarin-GVA,2H,,,,,,Mercedes V Class + Car For Luggage,,1,Partner,,,,Bruce Baxter,,Partner name 10,
,Graeme Gray-Steele,,21/03/2022,Transfer Pick Up,Annecy- Courchevel six sens,,,,,,,Mercedes V Class + Car For Luggage,,1,Rented by SPN,,,Zied,,,,
,Graeme Gray-Steele,,,Dispo,Courchevel six sens,4,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,,,,
,Mrs Tracey Peters,,26/03/2022,Transfer Pick Up,GVA- Courchevel,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Dr Bruce Humphries,,Partner name 10,
,Mrs Tracey Peters,,,Transfer Pick Up,GVA- Courchevel,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Dr Bruce Humphries,,Partner name 11,
,Mrs Tracey Peters,,,Transfer Pick Up,GVA- Courchevel,,,,,,,Mercedes Gle,,1,SPN,,,Zied,Dr Bruce Humphries,,,
,Mrs Tracey Peters,,,Transfer Drop Off,Courchevel- GVA,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Dr Bruce Humphries,,Partner name 11,
,Mrs Tracey Peters,,,Transfer Drop Off,Courchevel- GVA,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Dr Bruce Humphries,,Partner name 11,
,Mrs Tracey Peters,,,Transfer Drop Off,Courchevel- GVA,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Dr Bruce Humphries,,Partner name 8,
,Frederick Barnes-Turner,,,Transfer Pick Up,St Exupery - Genève,,,,,,,Mercedes V Class,,1,Rented by SPN,,,Zied,,,,
,Robert Edwards,,,Transfer Pick Up,GVA- PWH,,,,,,,Mercedes V Class,,1,Partner,,,Zied,Diana White,,Partner name 6,
,Miss Rosie Williamson,,,,,,,,,,,,,1,Partner,,,,Sharon Jones,Contact company 3,,
,John Robertson,,30/04/2022,Rent Self Drive,GVA_Petit Saconnex,3.5,,,,,17h30,Range Rover,,1,SPN,,,,Dr Cameron Holden,,,
,Miss Andrea Patel,,21/05/2022,Rent Self Drive,,5,,,14:00:00,,,Range Rover,,1,SPN,GE 873962,,,Dorothy O'Donnell,,,
,Christian Moore,,,Dispo,Mandarin Hotel - Geneva,1,8,,14:30:00,17/05/2022,21:30:00,Mercedes V Class,,1,Partner,,,Abdellaziz,,Contact company 8,Partner name 12,
,Christian Moore,,,Dispo,Mandarin Hotel - Geneva,1,8,,14:00:00,19/05/2022,,Mercedes V Class,,1,Partner,,,Abdellaziz,,Contact company 8,Partner name 12,
,Daniel Wilson,,26/05/2022,Rent Self Drive,Geneva - Zurich - Davos,6,,,08:00:00,,,Mercedes S Class,,1,SPN,GE 187509,,Zied,,,,
,Lorraine Barnett,,13/06/2022,Rent Self Drive,,23,,,14:00:00,13/06/2022,18:00:00,Range Rover,,1,SPN,GE 873962,,Zied,,,,
,Christian Moore,,,Dispo,Mandarin Hotel - Geneva,1,8,,14:00:00,22/05/2022,,Mercedes V Class,,1,Partner,,,Abdellaziz,,Contact company 8,Partner name 12,
,Christian Moore,,25/05/2022,Transfer Drop Off,Mandarin Hotel - Geneva airport,,,,,25/05/2022,13:00:00,Mercedes V Class,,1,Partner,GE 962889,,Abdellaziz,,Contact company 8,Partner name 6,
,Joan Hanson,,29/05/2022,Dispo,Woodward Hotel - Geneva,3,,,,29/05/2022,,Mercedes V Class,,1,Partner,,,,Maurice Begum,,Partner name 6,
,Stephen Davies,,31/05/2022,Rent Self Drive,,3,,,14:00:00,,,Mercedes S Class,,1,SPN,GE 187509,,Mohamed,,,,
06/02/2022,Stephen Davies,06/02/2022,,Rent Self Drive,Woodward Hotel - Geneva,,,06/02/2022,11:00:00,,,Mercedes S Class,,1,SPN,GE 187509,,Mohamed,,,,
06/05/2022,Dr Kyle Baldwin,06/05/2022,,Transfer Pick Up,Geneva airport - Mornex,,,06/05/2022,16:00:00,,,Mercedes V Class,,1,Partner,,,Zied,,,Partner name 6,
06/07/2022,Lisa Matthews,06/07/2022,11/06/2022,Dispo,Hotel Principe Di Savoie _ Milan,5,12,06/07/2022,09:00:00,11/06/2022,21:00:00,Mercedes S Class,,1,SPN,GE 187509,Conor Williams,Zied,Yvonne Cooper,,,
06/07/2022,Lisa Matthews,06/07/2022,11/06/2022,Dispo,Hotel Principe Di Savoie _ Milan,5,12,06/07/2022,09:00:00,11/06/2022,21:00:00,Mercedes S Class,,1,Partner,GE 715WW,Jodie Higgins,Zied,Yvonne Cooper,,Partner name 13,
06/07/2022,Lisa Matthews,06/07/2022,10/06/2022,Dispo,Hotel Principe Di Savoie _ Milan,4,12,06/07/2022,09:00:00,10/06/2022,21:00:00,Mercedes S Class,,1,Partner,GC 748FH,Neil Simpson-Randall,Zied,Yvonne Cooper,,Partner name 13,
06/08/2022,Dr Leon Greenwood,06/08/2022,25/06/2022,Dispo,Beau Rivage Hotel - Geneva - Gstaad ,18,8,,,,,Mercedes V Class,,1,Partner,,,Abdellaziz,Louis Wells,Contact company 9,Partner name 12,
06/08/2022,Miss Olivia Sanders,06/08/2022,25/06/2022,Dispo,Beau Rivage Hotel - Geneva - Gstaad ,18,8,,,,,Mercedes V Class,,1,SPN,EU AP4127,Hayley Jones,Abdellaziz,Louis Wells,Contact company 9,,
06/08/2022,James Hammond,06/08/2022,17/06/2022,Rent Self Drive,Geneva,9,,06/08/2022,14:40:00,17/06/2022,,Mercedes C Class + Mercedes Gle,,1,SPN,,,Abdellaziz,,,,
06/09/2022,Pauline Green,06/09/2022,,Transfer Pick Up,Geneva airport - Zurick,,,06/09/2022,14:40:00,,,Mercedes V Class,,1,Partner,,Ms Wendy Rowe,Zied,,,Partner name 14,
06/10/2022,Stephen Tomlinson-Brown,06/10/2022,10/06/2022,Transfer Pick Up,Geneva airport - Four Seasons Hotel,,,06/10/2022,14:35:00,,,Mercedes S Class,,1,Partner,,,,Mohammed Chapman,Contact company 1,Partner name 6,
06/11/2022,Dr Jane Ball,06/11/2022,16/06/2022,Dispo,Basel / Cancel ,5,,06/11/2022,,16/06/2022,,Mercedes S Class,,1,SPN,,,,Abbie Wright,Contact company 10,,
,Ben Sykes-Taylor,,17/06/2022,Dispo,Geneva,2,10,,15:45:00,17/06/2022,11:35:00,Mercedes S Class,,1,SPN,GE 187509,Abbie Jackson,Zied,Ben Pearson,Contact company 6,,
,Ben Sykes-Taylor,,,Transfer Pick Up Luggages,Geneva airport - Hotel,,,,15:45:00,,,Bmw X5,,1,SPN,GE 206586,Alan White,Zied,Ben Pearson,Contact company 6,,
,Ben Sykes-Taylor,,,Dispo,Geneva airport - Lausanne - Geneva,1,,,10:00:00,16/06/2022,17:30:00,Toyota,,1,SPN,GE 122009,Alan White,Zied,Ben Pearson,Contact company 6,,
